Time,Emotion
2023-07-21 23:21:57,Fearful
2023-07-21 23:21:57,Sad
2023-07-21 23:21:57,Sad
2023-07-21 23:21:57,Sad
2023-07-21 23:21:57,Angry
2023-07-21 23:21:58,Sad
2023-07-21 23:21:58,Neutral
2023-07-21 23:21:58,Fearful
2023-07-21 23:21:58,Fearful
2023-07-21 23:21:58,Angry
2023-07-21 23:21:58,Surprised
2023-07-21 23:21:58,Surprised
2023-07-21 23:21:58,Fearful
2023-07-21 23:21:58,Sad
2023-07-21 23:21:59,Sad
2023-07-21 23:21:59,Sad
2023-07-21 23:21:59,Surprised
2023-07-21 23:21:59,Angry
2023-07-21 23:21:59,Sad
2023-07-21 23:21:59,Angry
2023-07-21 23:21:59,Sad
2023-07-21 23:21:59,Sad
2023-07-21 23:22:00,Sad
2023-07-21 23:22:00,Sad
2023-07-21 23:22:00,Sad
2023-07-21 23:22:00,Angry
2023-07-21 23:43:21,Sad
2023-07-21 23:43:21,Neutral
2023-07-21 23:43:21,Angry
2023-07-21 23:43:21,Sad
2023-07-21 23:43:21,Sad
2023-07-21 23:43:22,Angry
2023-07-21 23:43:22,Angry
2023-07-21 23:43:22,Angry
2023-07-21 23:43:22,Angry
2023-07-21 23:43:22,Angry
2023-07-21 23:43:22,Sad
2023-07-21 23:43:22,Neutral
2023-07-21 23:43:23,Angry
2023-07-21 23:43:23,Sad
2023-07-21 23:43:23,Angry
2023-07-21 23:47:17,Angry
2023-07-21 23:47:20,Happy
2023-07-21 23:47:20,Neutral
2023-07-21 23:47:20,Neutral
2023-07-21 23:47:20,Neutral
2023-07-21 23:47:20,Neutral
2023-07-21 23:49:24,Surprised
2023-07-21 23:49:24,Fearful
2023-07-21 23:49:24,Fearful
2023-07-21 23:49:24,Fearful
2023-07-21 23:49:25,Fearful
2023-07-21 23:49:25,Fearful
2023-07-21 23:49:25,Fearful
2023-07-21 23:49:25,Fearful
2023-07-21 23:49:25,Fearful
2023-07-21 23:49:25,Fearful
2023-07-21 23:49:25,Surprised
2023-07-21 23:49:26,Surprised
2023-07-21 23:49:26,Surprised
2023-07-21 23:49:26,Surprised
2023-07-21 23:49:26,Surprised
2023-07-21 23:49:26,Fearful
2023-07-21 23:49:26,Surprised
2023-07-21 23:49:27,Surprised
2023-07-21 23:49:27,Surprised
2023-07-21 23:49:27,Surprised
2023-07-21 23:49:27,Sad
Time,Emotion
